"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.785/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x9295530db33d77cade438ab455f2ef2d6463969e346106fc2111a729d12745e1","37869284","1673282361","2023-01-09 16:39:21","0x1213c2364061f7cf11eca008c121072c63a213db","0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4","","0","0","0","0.005143443114799","0.00403802060019689","0.84","","","Approve"
"0xbe8691916f10f9e22f2fc6004b75aef08731a929ab2e94edee6a18f08fa26f2b","37869306","1673282405","2023-01-09 16:40:05","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.014711989455226646","0.0115501066433795","0.84","","","Supply"
"0xc06d70633ae19a853701d2ba314870c58f6ad0dc1a35ad99871f8e23ed739185","37869363","1673282627","2023-01-09 16:43:47","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.052377349549448889","0.0411204735317955","0.84","","","Borrow"
"0x2636e03d3918fd7e987200d14f743121934ebbf86c52899d423708e7afc4290b","37869389","1673282707","2023-01-09 16:45:07","0x1213c2364061f7cf11eca008c121072c63a213db","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","","0","0","0","0.01246565808008364","0.00978655406483593","0.84","","","Approve"
"0xfec170f0547a87d4045f070ad403ee7ccdb64ccac7e4650c0062313b9028e8c0","37869449","1673282831","2023-01-09 16:47:11","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.023858233761411036","0.0187306512899298","0.84","","","Supply"
"0xfe9a1bc0205fa913b92805809538dc30e3b09c091131b53fc8a0898a4448badd","38053079","1673668989","2023-01-14 04:03:09","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.013131580863693015","0.0103093575368172","1.00","","","Withdraw"
"0x8a3ef163f805492d2b69711b5b600752ee042c04b1908a9e7238952e7ca183d0","38053106","1673669043","2023-01-14 04:04:03","0x1213c2364061f7cf11eca008c121072c63a213db","0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4","","0","0","0","0.00851130977652144","0.00668206947081087","1.00","","","Approve"
"0x3742f97a6bfe8f7418e538a975d45cd8bae6ff21a1116de2da628435be40def8","38053202","1673669243","2023-01-14 04:07:23","0x1213c2364061f7cf11eca008c121072c63a213db","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","","0","0","0","0.002297252709977512","0.00180352996226533","1.00","","","Approve"
"0xdfa2c1fd4961cd9cd84e5bcf01c3c8ef919f870c8a52bedb6d1148f7d82a00ca","38053216","1673669271","2023-01-14 04:07:51","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.009161689236978239","0.00719267017167468","1.00","","","Repay"
"0xd7c3164257e7016e88940679f73779d72d4022dbf4cf31c71fe6b46a10a53073","38355445","1674317529","2023-01-21 16:12:09","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.011558641571348096","0.00907447243678124","0.99","","","Withdraw"
"0xefaf8828586ea0827f0ed72c700d4517212ef382eda0211780ac1ee657610b95","38355769","1674318217","2023-01-21 16:23:37","0x1213c2364061f7cf11eca008c121072c63a213db","0xb3c683b8ae43fd6084e17688388a1d12305eaf0b","","0","2180","1711.47706156234","0.001178877077511","0.000925514255303541","0.99","","","Transfer"
"0x6543e17e4d7ec6fbcaf46093194f5811d0d23bc334a9632c03f4334208749505","38355801","1674318285","2023-01-21 16:24:45","0xb3c6aed0971e94d47de1f8480e6c8995d870af0b","0x1213c2364061f7cf11eca008c121072c63a213db","","0.000218","0","0.000171147706156234","0.002541","0.00199489138230729","0.99","","","Transfer"
"0xc0600170fbe3ecddbe22fe09df6857f6f9c57780f2126558ed7bf30906edf0f7","41413088","1681231551","2023-04-11 16:45:51","0xdc94e7440555af772176b9f529167a2d3fd85292","0x1213c2364061f7cf11eca008c121072c63a213db","","205.213333","0","161.10913401663","0.002961","0.00232462549508536","1.11","","","Transfer"
"0xbbcbbd6e42816d5164c36e79adf2b2551780d17a48bc93b5979827114ba2d452","41413227","1681231852","2023-04-11 16:50:52","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","210","164.867056389032","0.033590989020855648","0.026371654671737","1.11","","","Deposit ETH"
"0x365703a83ad1d702db2618b06b0ea3086b65fb975abc0145389e567d98378fa1","41413247","1681231894","2023-04-11 16:51:34","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.04548337407421886","0.0357081428488462","1.11","","","Borrow"
"0x87a6a8c23c7e2d81dd10a01f8642030afb5d2869d1c0b9557dc5f936a5da19e7","41413293","1681231992","2023-04-11 16:53:12","0x1213c2364061f7cf11eca008c121072c63a213db","0xe111178a87a3bff0c8d18decba5798827539ae99","","0","0","0","0.013096339747776","0.0102816903985072","1.11","","","Approve"
